LOR_KENNUNG,Anzahl_DS,Anzahl_Delikt_FD,Anzahl_Delikt_KB,PLR,PGR,BEZIRK
09100101,252,230,22.0,Alt-Treptow,Treptow-Köpenick 1,Treptow-Köpenick
02300419,233,232,1.0,Wrangelkiez,Kreuzberg Ost,Friedrichshain-Kreuzberg
01300836,167,160,7.0,Humboldthain Nordwest,Gesundbrunnen,Mitte
01100308,163,154,9.0,Charitéviertel,Zentrum,Mitte
02500835,154,149,5.0,Stralauer Kiez,Freidrichshain Ost,Friedrichshain-Kreuzberg
02200210,153,153,,Urbanstraße,Kreuzberg Süd,Friedrichshain-Kreuzberg
07100102,152,142,10.0,Kalckreuthstraße,Schöneberg Nord,Tempelhof-Schöneberg
08100206,147,142,5.0,Flughafenstraße,Neukölln,Neukölln
02300418,146,137,9.0,Reichenberger Straße Ost,Kreuzberg Ost,Friedrichshain-Kreuzberg
02200211,144,137,7.0,Chamissokiez,Kreuzberg Süd,Friedrichshain-Kreuzberg
04300623,140,133,7.0,Karl-August-Platz,Charlottenburg Zentrum,Charlottenburg-Wilmersdorf
01100309,137,129,8.0,Oranienburger Straße,Zentrum,Mitte
01100415,134,129,5.0,Invalidenstraße,Zentrum,Mitte
07100101,134,126,8.0,Wittenbergplatz,Schöneberg Nord,Tempelhof-Schöneberg
01100310,133,131,2.0,Alexanderplatzviertel,Zentrum,Mitte
01401048,132,120,12.0,Leopoldplatz,Wedding,Mitte
07200413,130,126,4.0,Cheruskerstraße,Schöneberg Süd,Tempelhof-Schöneberg
02200213,129,129,,Graefekiez Nord,Kreuzberg Süd,Friedrichshain-Kreuzberg
09200613,126,116,10.0,Bahnhof Schöneweide,Treptow-Köpenick 2,Treptow-Köpenick
07100204,123,111,12.0,Barbarossaplatz,Schöneberg Nord,Tempelhof-Schöneberg
01400942,120,113,7.0,Westliche Müllerstraße,Wedding,Mitte
03601142,120,114,6.0,Falkplatz,Nördlicher Prenzlauer Berg,Pankow
08100208,116,115,1.0,Körnerpark,Neukölln,Neukölln
01401043,112,104,8.0,Antonstraße,Wedding,Mitte
03601243,112,106,6.0,Rodenbergstraße,Nördlicher Prenzlauer Berg,Pankow
02300417,109,106,3.0,Reichenberger Straße West,Kreuzberg Ost,Friedrichshain-Kreuzberg
04300416,108,101,7.0,Amtsgerichtsplatz,Charlottenburg Zentrum,Charlottenburg-Wilmersdorf
07100206,108,103,5.0,Großgörschenstraße,Schöneberg Nord,Tempelhof-Schöneberg
02200212,107,105,2.0,Graefekiez Süd,Kreuzberg Süd,Friedrichshain-Kreuzberg
02100106,106,104,2.0,Wassertorplatz,Kreuzberg Nord,Friedrichshain-Kreuzberg
11501341,106,104,2.0,Karlshorst Süd,Lichtenberg Süd,Lichtenberg
02500834,105,93,12.0,Revaler Straße,Freidrichshain Ost,Friedrichshain-Kreuzberg
02200209,105,101,4.0,Viktoriapark,Kreuzberg Süd,Friedrichshain-Kreuzberg
