LAT,LON,Bezirk,Schule,Straße,PLZ,Ort,Adresse,Aktueller Status,Standort beauftragt?,"Begehung durgeführt am:
[Datum]","Tiefbau abgeschlossen am: 
[Datum]","Aktive Technik 
verbaut 
am: 
[Datum]","Anschluss nutzbar? 
[Ja / Nein]"
52.5259779,13.3337066,Mitte,Berlin-Kolleg,Turmstr. 75,10115,Berlin,Turmstr. 75 10115 Berlin,Aktive Technik verbaut,Ja,15.07.22,21.08.23,28.09.23,Nein
52.5365274,13.4009448,Mitte,Grundschule am Arkonaplatz,Ruppiner Str. 47-48,10115,Berlin,Ruppiner Str. 47-48 10115 Berlin,Aktive Technik verbaut,Ja,13.07.22,23.11.22,23.08.23,Nein
52.532807,13.3910825,Mitte,Papageno-Grundschule,Bergstr. 58,10115,Berlin,Bergstr. 58 10115 Berlin,Anschluss nutzbar,Ja,05.08.22,17.07.23,25.10.23,Ja
52.5266679,13.4018142,Mitte,Kastanienbaum-Grundschule,Gipsstr. 23 A,10119,Berlin,Gipsstr. 23 A 10119 Berlin,Anschluss nutzbar,Ja,11.07.22,25.08.22,27.03.24,Ja
52.5273403,13.38053,Mitte,Grundschule Neues Tor,Hannoversche Str. 20,10115,Berlin,Hannoversche Str. 20 10115 Berlin,Anschluss nutzbar,Ja,05.08.22,07.03.23,11.10.23,Ja
52.5129879,13.3829654,Mitte,Grundschule am Brandenburger Tor,Wilhelmstr. 52,10117,Berlin,Wilhelmstr. 52 10117 Berlin,Anschluss nutzbar,Ja,27.06.22,17.02.23,12.04.23,Ja
52.5069791,13.4087815,Mitte,City-Grundschule,Sebastianstr. 57,10179,Berlin,Sebastianstr. 57 10179 Berlin,Anschluss nutzbar,Ja,31.08.22,30.08.23,20.10.23,Ja
52.5302996,13.353126,Mitte,Kurt-Tucholsky-Grundschule,Rathenower Str. 18,10559,Berlin,Rathenower Str. 18 10559 Berlin,Anschluss nutzbar,Ja,09.08.22,25.10.23,09.01.24,Ja
52.5316399,13.3548496,Mitte,Kurt-Tucholsky-Grundschule,Kruppstr. 14b,10559,Berlin,Kruppstr. 14b 10559 Berlin,Aktive Technik verbaut,Ja,09.08.22,12.07.23,21.12.23,Nein
52.5181124,13.3560024,Mitte,Anne-Frank-Grundschule,Paulstr. 20 B,10557,Berlin,Paulstr. 20 B 10557 Berlin,Anschluss nutzbar,Ja,12.07.22,17.01.23,11.10.23,Ja
52.5209825,13.4362021,Friedrichshain-Kreuzberg,Spartacus-Grundschule,Friedenstr. 40-45,10249,Berlin,Friedenstr. 40-45 10249 Berlin,Aktive Technik in Planung,Ja,04.07.22,21.12.22,,Nein
52.5216604,13.43876,Friedrichshain-Kreuzberg,Spartacus-Grundschule,Pufendorfstr. 10,10249,Berlin,Pufendorfstr. 10 10249 Berlin,Aktive Technik verbaut,Ja,01.12.22,25.08.23,06.03.24,Nein
52.5242203,13.4543611,Friedrichshain-Kreuzberg,Hausburg-Grundschule,Hausburgstr. 20,10249,Berlin,Hausburgstr. 20 10249 Berlin,Anschluss nutzbar,Ja,13.01.23,20.01.23,11.05.23,Ja
52.5237145,13.4557315,Friedrichshain-Kreuzberg,Hausburg-Grundschule,Otto-Ostrowski-Str. 44,10249,Berlin,Otto-Ostrowski-Str. 44 10249 Berlin,Aktive Technik in Planung,Ja,16.02.23,26.04.24,,Nein
52.5186237,13.4586449,Friedrichshain-Kreuzberg,Justus-von-Liebig-Grundschule,Liebigstr. 18A,10247,Berlin,Liebigstr. 18A 10247 Berlin,Aktive Technik in Planung,Ja,01.12.22,22.04.24,,Nein
52.5193785,13.4708425,Friedrichshain-Kreuzberg,Pettenkofer-Grundschule,Pettenkoferstr. 20-24,10247,Berlin,Pettenkoferstr. 20-24 10247 Berlin,Aktive Technik in Planung,Ja,29.11.22,29.06.23,,Nein
52.5155669,13.4500529,Friedrichshain-Kreuzberg,Ludwig-Hoffmann-Grundschule,Lasdehner Str. 21-23,10243,Berlin,Lasdehner Str. 21-23 10243 Berlin,Begehung durchgeführt,Ja,16.02.23,,,Nein
52.5136231,13.4733287,Friedrichshain-Kreuzberg,Grundschule am Traveplatz,Jessnerstr. 24-32,10247,Berlin,Jessnerstr. 24-32 10247 Berlin,Begehung durchgeführt,Ja,10.11.22,,,Nein
52.5086844,13.4650114,Friedrichshain-Kreuzberg,Zille-Grundschule,Boxhagener Str. 46,10245,Berlin,Boxhagener Str. 46 10245 Berlin,Begehung durchgeführt,Ja,10.11.22,,,Nein
52.492908,13.4761879,Friedrichshain-Kreuzberg,Thalia-Grundschule,Alt-Stralau 34,10245,Berlin,Alt-Stralau 34 10245 Berlin,Aktive Technik verbaut,Ja,10.11.22,29.06.23,25.10.23,Nein
52.5538375,13.4366243,Pankow,Schule am Hamburger Platz (Grundschule),Gustav-Adolf-Str. 21,13086,Berlin,Gustav-Adolf-Str. 21 13086 Berlin,Anschluss nutzbar,Ja,24.05.22,15.02.23,14.03.23,Ja
52.5310036,13.42406,Pankow,Heinrich-Roller-Grundschule,Heinrich-Roller-Str. 18,10405,Berlin,Heinrich-Roller-Str. 18 10405 Berlin,Anschluss nutzbar,Ja,09.08.22,28.01.23,24.05.23,Ja
52.5376487,13.4143459,Pankow,Grundschule am Kollwitzplatz,Knaackstr. 67,10435,Berlin,Knaackstr. 67 10435 Berlin,Anschluss nutzbar,Ja,03.08.22,10.03.23,11.01.24,Ja
52.536028,13.4256762,Pankow,Grundschule an der Marie,Christburger Str. 7,10405,Berlin,Christburger Str. 7 10405 Berlin,Anschluss nutzbar,Ja,28.06.22,28.11.22,23.01.23,Ja
52.5334721,13.4321896,Pankow,Homer-Grundschule,Pasteurstr. 10-12,10407,Berlin,Pasteurstr. 10-12 10407 Berlin,Anschluss nutzbar,Ja,27.07.22,27.09.23,24.10.23,Ja
52.5349001,13.4395001,Pankow,Bötzow-Grundschule,John-Schehr-Str. 38,10407,Berlin,John-Schehr-Str. 38 10407 Berlin,Anschluss nutzbar,Ja,23.08.22,07.02.23,15.03.23,Ja
52.5417076,13.4300416,Pankow,Grundschule am Planetarium,Ella-Kay-Str. 47,10405,Berlin,Ella-Kay-Str. 47 10405 Berlin,Aktive Technik verbaut,Ja,27.07.22,06.06.23,19.03.24,Nein
52.5467163,13.4148931,Pankow,Thomas-Mann-Grundschule,Greifenhagener Str. 58,10437,Berlin,Greifenhagener Str. 58 10437 Berlin,Aktive Technik verbaut,Ja,29.06.22,16.08.23,20.09.23,Nein
52.6149509,13.4962945,Pankow,Grundschule am Hohen Feld,Bedeweg 1,13125,Berlin,Bedeweg 1 13125 Berlin,Anschluss nutzbar,Ja,13.07.22,16.12.22,24.02.23,Ja
52.5471554,13.4060491,Pankow,Schule am Falkplatz (Grundschule),Gleimstr. 49,10437,Berlin,Gleimstr. 49 10437 Berlin,Anschluss nutzbar,Ja,29.06.22,01.11.22,04.07.23,Ja
52.5083269,13.3036973,Charlottenburg-Wilmersdorf,Charlotte-Wolff-Kolleg,Pestalozzistr. 40-41,10627,Berlin,Pestalozzistr. 40-41 10627 Berlin,Aktive Technik in Planung,Ja,01.09.22,27.03.24,,Nein
52.4278731,13.3159792,Charlottenburg-Wilmersdorf,Eichendorff-Grundschule,Goethestr. 19,10625,Berlin,Goethestr. 19 10625 Berlin,Begehung durchgeführt,Ja,01.09.22,,,Nein
52.5093052,13.2951771,Charlottenburg-Wilmersdorf,Lietzensee-Grundschule,Witzlebenstr. 34-35,14057,Berlin,Witzlebenstr. 34-35 14057 Berlin,Anschluss nutzbar,Ja,11.08.22,03.11.23,30.04.24,Ja
52.5035654,13.3199513,Charlottenburg-Wilmersdorf,Joan-Miró-Grundschule,Bleibtreustr. 43,10623,Berlin,Bleibtreustr. 43 10623 Berlin,Anschluss nutzbar,Ja,29.09.22,09.08.23,09.11.23,Ja
52.5185311,13.2778126,Charlottenburg-Wilmersdorf,Dietrich-Bonhoeffer-Grundschule,Spandauer Damm 205-215,14050,Berlin,Spandauer Damm 205-215 14050 Berlin,Anschluss nutzbar,Ja,14.10.22,08.08.23,15.11.23,Ja
52.5019136,13.2572473,Charlottenburg-Wilmersdorf,Wald-Grundschule,Waldschulallee 83-93,14055,Berlin,Waldschulallee 83-93 14055 Berlin,Aktive Technik in Planung,Ja,07.10.22,07.08.23,,Nein
52.5149753,13.3154219,Charlottenburg-Wilmersdorf,Ludwig-Cauer-Grundschule,Cauerstr. 36-38,10587,Berlin,Cauerstr. 36-38 10587 Berlin,Begehung durchgeführt,Ja,09.08.22,,,Nein
