BSN;Bezirk;Schulart;Schule;Straße;PLZ;Ort;Adresse;Aktueller Status;Standort beauftragt? ;"Begehung durgeführt am:
[Datum]";"Tiefbau abgeschlossen am: 
[Datum]";"Aktive Technik 
verbaut 
am: 
[Datum]";"Anschluss nutzbar? 
[Ja / Nein]"
01A04;Mitte;A;Berlin-Kolleg;Turmstr. 75;10115;Berlin;Turmstr. 75 10115 Berlin;Aktive Technik verbaut;Ja;15.07.22;21.08.23;28.09.23;Nein
01G01;Mitte;G;Grundschule am Arkonaplatz;Ruppiner Str. 47-48;10115;Berlin;Ruppiner Str. 47-48 10115 Berlin;Aktive Technik verbaut;Ja;13.07.22;23.11.22;23.08.23;Nein
01G02;Mitte;G;Papageno-Grundschule;Bergstr. 58;10115;Berlin;Bergstr. 58 10115 Berlin;Anschluss nutzbar;Ja;05.08.22;17.07.23;25.10.23;Ja
01G04;Mitte;G;Kastanienbaum-Grundschule;Gipsstr. 23 A;10119;Berlin;Gipsstr. 23 A 10119 Berlin;Anschluss nutzbar;Ja;11.07.22;25.08.22;27.03.24;Ja
01G05;Mitte;G;Grundschule Neues Tor;Hannoversche Str. 20;10115;Berlin;Hannoversche Str. 20 10115 Berlin;Anschluss nutzbar;Ja;05.08.22;07.03.23;11.10.23;Ja
01G08;Mitte;G;Grundschule am Brandenburger Tor;Wilhelmstr. 52;10117;Berlin;Wilhelmstr. 52 10117 Berlin;Anschluss nutzbar;Ja;27.06.22;17.02.23;12.04.23;Ja
01G10;Mitte;G;City-Grundschule;Sebastianstr. 57;10179;Berlin;Sebastianstr. 57 10179 Berlin;Anschluss nutzbar;Ja;31.08.22;30.08.23;20.10.23;Ja
01G11;Mitte;G;Kurt-Tucholsky-Grundschule;Rathenower Str. 18;10559;Berlin;Rathenower Str. 18 10559 Berlin;Anschluss nutzbar;Ja;09.08.22;25.10.23;09.01.24;Ja
01G11b;Mitte;G;Kurt-Tucholsky-Grundschule;Kruppstr. 14b;10559;Berlin;Kruppstr. 14b 10559 Berlin;Aktive Technik verbaut;Ja;09.08.22;12.07.23;21.12.23;Nein
01G15;Mitte;G;Anne-Frank-Grundschule;Paulstr. 20 B;10557;Berlin;Paulstr. 20 B 10557 Berlin;Anschluss nutzbar;Ja;12.07.22;17.01.23;11.10.23;Ja
02G01;Friedrichshain-Kreuzberg;G;Spartacus-Grundschule;Friedenstr. 40-45;10249;Berlin;Friedenstr. 40-45 10249 Berlin;Aktive Technik in Planung;Ja;04.07.22;21.12.22;;Nein
02G01b;Friedrichshain-Kreuzberg;G;Spartacus-Grundschule;Pufendorfstr. 10;10249;Berlin;Pufendorfstr. 10 10249 Berlin;Aktive Technik verbaut;Ja;01.12.22;25.08.23;06.03.24;Nein
02G02;Friedrichshain-Kreuzberg;G;Hausburg-Grundschule;Hausburgstr. 20;10249;Berlin;Hausburgstr. 20 10249 Berlin;Anschluss nutzbar;Ja;13.01.23;20.01.23;11.05.23;Ja
02G02b;Friedrichshain-Kreuzberg;G;Hausburg-Grundschule;Otto-Ostrowski-Str. 44;10249;Berlin;Otto-Ostrowski-Str. 44 10249 Berlin;Aktive Technik in Planung;Ja;16.02.23;26.04.24;;Nein
02G03;Friedrichshain-Kreuzberg;G;Justus-von-Liebig-Grundschule;Liebigstr. 18A;10247;Berlin;Liebigstr. 18A 10247 Berlin;Aktive Technik in Planung;Ja;01.12.22;22.04.24;;Nein
02G04;Friedrichshain-Kreuzberg;G;Pettenkofer-Grundschule;Pettenkoferstr. 20-24;10247;Berlin;Pettenkoferstr. 20-24 10247 Berlin;Aktive Technik in Planung;Ja;29.11.22;29.06.23;;Nein
02G07;Friedrichshain-Kreuzberg;G;Ludwig-Hoffmann-Grundschule;Lasdehner Str. 21-23;10243;Berlin;Lasdehner Str. 21-23 10243 Berlin;Begehung durchgeführt;Ja;16.02.23;;;Nein
02G08;Friedrichshain-Kreuzberg;G;Grundschule am Traveplatz;Jessnerstr. 24-32;10247;Berlin;Jessnerstr. 24-32 10247 Berlin;Begehung durchgeführt;Ja;10.11.22;;;Nein
02G09;Friedrichshain-Kreuzberg;G;Zille-Grundschule;Boxhagener Str. 46;10245;Berlin;Boxhagener Str. 46 10245 Berlin;Begehung durchgeführt;Ja;10.11.22;;;Nein
02G11;Friedrichshain-Kreuzberg;G;Thalia-Grundschule;Alt-Stralau 34;10245;Berlin;Alt-Stralau 34 10245 Berlin;Aktive Technik verbaut;Ja;10.11.22;29.06.23;25.10.23;Nein
03G01;Pankow;G;Schule am Hamburger Platz (Grundschule);Gustav-Adolf-Str. 21;13086;Berlin;Gustav-Adolf-Str. 21 13086 Berlin;Anschluss nutzbar;Ja;24.05.22;15.02.23;14.03.23;Ja
03G02;Pankow;G;Heinrich-Roller-Grundschule;Heinrich-Roller-Str. 18;10405;Berlin;Heinrich-Roller-Str. 18 10405 Berlin;Anschluss nutzbar;Ja;09.08.22;28.01.23;24.05.23;Ja
03G03;Pankow;G;Grundschule am Kollwitzplatz;Knaackstr. 67;10435;Berlin;Knaackstr. 67 10435 Berlin;Anschluss nutzbar;Ja;03.08.22;10.03.23;11.01.24;Ja
03G04;Pankow;G;Grundschule an der Marie;Christburger Str. 7;10405;Berlin;Christburger Str. 7 10405 Berlin;Anschluss nutzbar;Ja;28.06.22;28.11.22;23.01.23;Ja
03G05;Pankow;G;Homer-Grundschule;Pasteurstr. 10-12;10407;Berlin;Pasteurstr. 10-12 10407 Berlin;Anschluss nutzbar;Ja;27.07.22;27.09.23;24.10.23;Ja
03G06;Pankow;G;Bötzow-Grundschule;John-Schehr-Str. 38;10407;Berlin;John-Schehr-Str. 38 10407 Berlin;Anschluss nutzbar;Ja;23.08.22;07.02.23;15.03.23;Ja
03G08;Pankow;G;Grundschule am Planetarium;Ella-Kay-Str. 47;10405;Berlin;Ella-Kay-Str. 47 10405 Berlin;Aktive Technik verbaut;Ja;27.07.22;06.06.23;19.03.24;Nein
03G09;Pankow;G;Thomas-Mann-Grundschule;Greifenhagener Str. 58;10437;Berlin;Greifenhagener Str. 58 10437 Berlin;Aktive Technik verbaut;Ja;29.06.22;16.08.23;20.09.23;Nein
03G10;Pankow;G;Grundschule am Hohen Feld;Bedeweg 1;13125;Berlin;Bedeweg 1 13125 Berlin;Anschluss nutzbar;Ja;13.07.22;16.12.22;24.02.23;Ja
03G11;Pankow;G;Schule am Falkplatz (Grundschule);Gleimstr. 49;10437;Berlin;Gleimstr. 49 10437 Berlin;Anschluss nutzbar;Ja;29.06.22;01.11.22;04.07.23;Ja
04A04;Charlottenburg-Wilmersdorf;A;Charlotte-Wolff-Kolleg;Pestalozzistr. 40-41;10627;Berlin;Pestalozzistr. 40-41 10627 Berlin;Aktive Technik in Planung;Ja;01.09.22;27.03.24;;Nein
04G01;Charlottenburg-Wilmersdorf;G;Eichendorff-Grundschule;Goethestr. 19;10625;Berlin;Goethestr. 19 10625 Berlin;Begehung durchgeführt;Ja;01.09.22;;;Nein
04G02;Charlottenburg-Wilmersdorf;G;Lietzensee-Grundschule;Witzlebenstr. 34-35;14057;Berlin;Witzlebenstr. 34-35 14057 Berlin;Anschluss nutzbar;Ja;11.08.22;03.11.23;30.04.24;Ja
04G04;Charlottenburg-Wilmersdorf;G;Joan-Miró-Grundschule;Bleibtreustr. 43;10623;Berlin;Bleibtreustr. 43 10623 Berlin;Anschluss nutzbar;Ja;29.09.22;09.08.23;09.11.23;Ja
