BSN;Bezirk;Schulart;Schule;Straße;PLZ;Aktueller Status;Standort beauftragt? ;"Begehung durgeführt am:
[Datum]";"Tiefbau abgeschlossen am: 
[Datum]";"Aktive Technik 
verbaut 
am: 
[Datum]";"Anschluss nutzbar? 
[Ja / Nein]"
01A04;Mitte;A;Berlin-Kolleg;Turmstr. 75;10115;Aktive Technik verbaut;Ja;15.07.2022;21.08.2023;28.09.2023;Nein
01G01;Mitte;G;Grundschule am Arkonaplatz;Ruppiner Str. 47-48;10115;Aktive Technik verbaut;Ja;13.07.2022;23.11.2022;23.08.2023;Nein
01G02;Mitte;G;Papageno-Grundschule;Bergstr. 58;10115;Anschluss nutzbar;Ja;05.08.2022;17.07.2023;25.10.2023;Ja
01G04;Mitte;G;Kastanienbaum-Grundschule;Gipsstr. 23 A;10119;Anschluss nutzbar;Ja;11.07.2022;25.08.2022;27.03.2024;Ja
01G05;Mitte;G;Grundschule Neues Tor;Hannoversche Str. 20;10115;Anschluss nutzbar;Ja;05.08.2022;07.03.2023;11.10.2023;Ja
01G08;Mitte;G;Grundschule am Brandenburger Tor;Wilhelmstr. 52;10117;Anschluss nutzbar;Ja;27.06.2022;17.02.2023;12.04.2023;Ja
01G10;Mitte;G;City-Grundschule;Sebastianstr. 57;10179;Anschluss nutzbar;Ja;31.08.2022;30.08.2023;20.10.2023;Ja
01G11;Mitte;G;Kurt-Tucholsky-Grundschule;Rathenower Str. 18;10559;Anschluss nutzbar;Ja;09.08.2022;25.10.2023;09.01.2024;Ja
01G11b;Mitte;G;Kurt-Tucholsky-Grundschule;Kruppstr. 14b;10559;Aktive Technik verbaut;Ja;09.08.2022;12.07.2023;21.12.2023;Nein
01G15;Mitte;G;Anne-Frank-Grundschule;Paulstr. 20 B;10557;Anschluss nutzbar;Ja;12.07.2022;17.01.2023;11.10.2023;Ja
01G16;Mitte;G;Moabiter Grundschule;Paulstr. 28;10557;Anschluss nutzbar;Ja;12.05.2022;09.03.2023;30.03.2023;Ja
01G18;Mitte;G;Carl-Bolle-Grundschule;Waldenserstr. 20-21;10551;Anschluss nutzbar;Ja;31.08.2022;15.02.2023;03.05.2023;Ja
01G19;Mitte;G;Hansa-Grundschule;Lessingstr. 5;10555;Anschluss nutzbar;Ja;11.08.2022;20.06.2023;17.07.2023;Ja
01G24;Mitte;G;Gottfried-Röhl-Grundschule;Ungarnstr. 75;13349;APL installiert;Ja;31.08.2022;25.04.2023;;Nein
01G25;Mitte;G;Rudolf-Wissell-Grundschule;Ellerbeker Str. 7-8;13357;Anschluss nutzbar;Ja;31.08.2022;05.07.2023;09.08.2023;Ja
01G27;Mitte;G;Gesundbrunnen-Grundschule;Prinzenallee 8;13357;Aktive Technik in Planung;Ja;28.06.2022;19.07.2023;;Nein
01G28;Mitte;G;Brüder-Grimm-Grundschule;Tegeler Str. 18-19;13353;Anschluss nutzbar;Ja;08.07.2022;09.09.2022;20.04.2023;Ja
01G29;Mitte;G;Wilhelm-Hauff-Grundschule;Gotenburger Str. 8;13359;Begehung durchgeführt;Ja;14.07.2022;;;Nein
01G31;Mitte;G;Wedding-Grundschule;Antonstr. 10;13347;Aktive Technik in Planung;Ja;14.07.2022;21.03.2024;;Nein
01G32;Mitte;G;Carl-Kraemer-Grundschule;Zechliner Str. 4;13359;Begehung durchgeführt;Ja;15.07.2022;;;Nein
01G35;Mitte;G;Humboldthain-Grundschule;Grenzstr. 7;13355;Anschluss nutzbar;Ja;28.06.2022;02.12.2022;24.03.2023;Ja
01G36;Mitte;G;Andersen-Grundschule;Kattegatstr. 26;13359;Aktive Technik in Planung;Ja;14.07.2022;28.01.2023;;Nein
01G38;Mitte;G;Gustav-Falke-Grundschule;Strelitzer Str. 42;13355;Anschluss nutzbar;Ja;14.07.2022;03.11.2022;08.04.2024;Ja
01G39;Mitte;G;Vineta-Grundschule;Demminer Str. 27;13355;Aktive Technik verbaut;Ja;14.07.2022;04.04.2023;11.05.2023;Nein
01G40;Mitte;G;Möwensee-Grundschule;Afrikanische Str. 123-125;13351;Aktive Technik verbaut;Ja;17.08.2022;10.11.2023;11.01.2024;Nein
